,Year,Month,Day,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation_m,Type,Eruption,VEI,Agent,Deaths,DeathDescription,Missing,MissingDescription,Injuries,InjuriesDescription,DamageMil,DamageDescription,HousesDestroyed,HousesDestroyedDescription,TotalDeaths,TotalDeathDescription,TotalMissing,TotalMissingDescription,TotalInjuries,TotalInjuriesDescription,TotalDamageMil,TotalDamageDescription,TotalHousesDestroyed,TotalHousesDestroyedDescription,in_ring_of_fire
2,-4350,,,,,Kikai,"Ryukyu Is",Japan,30.793,130.305,704,Caldera,true,7,P,,3,,,,,,3,,3,,3,,,,,,3,,3,true
3,-4050,,,,,Masaya,Nicaragua,Nicaragua,11.984,-86.169,594,Caldera,true,6,,,,,,,,,,,,,,,,,,,,,,true
5,-3580,,,,,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,true,6,,,,,,,,,,,,,,,,,,,,,,true
6,-3550,,,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,true,6,,,,,,,,,,,,,,,,,,,,,,true
11,-1860,,,,,"St. Helens",US-Washington,"United States",46.2,-122.18,2549,Stratovolcano,true,6,,,,,,,,,,,,,,,,,,,,,,true
15,-1550,,,,,Redoubt,Alaska-SW,"United States",60.485,-152.742,3108,Stratovolcano,true,,,,,,,,,,,,,,,,,,,,,,,true
18,-1050,,,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,true,6,,,,,,,,,,,,,,,,,,,,,,true
19,-1010,,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,true,5,,,3,,,,,,,,,,3,,,,,,,,,true
20,-455,,,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,true,4,M,,1,,,,,,,,,,1,,,,,,,,,true
25,-50,,,,,Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,518,"Pyroclastic shield",true,6,,,,,,,,,,,,,,,,,,,,,,true
28,60,,,,,Churchill,Alaska-E,"United States",61.38,-141.75,5005,Stratovolcano,true,6,,,,,,,,,,,,,,,,,,,,,,true
33,350,,,,,"St. Andrew Strait","Admiralty Is-SW Paci","Papua New Guinea",-2.38,147.35,270,"Complex volcano",true,,,,3,,,,,,,,,,3,,,,,,,,,true
34,350,,,,,Augustine,Alaska-SW,"United States",59.363,-153.435,1218,"Lava dome",true,,,,,,,,,,,,,,,,,,,,,,,true
36,450,,,,,Ilopango,"El Salvador","El Salvador",13.672,-89.053,450,Caldera,true,6,,30000,4,,,,,,,,,30000,4,,,,,,,,,true
38,590,,,,,"San Salvador","El Salvador","El Salvador",13.734,-89.294,1893,Stratovolcano,true,,,,1,,,,,,,,,,1,,,,,,,,,true
43,764,,,,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,4,"T,L",80,2,,,,,,,,,80,2,,,,,,,,,true
44,766,7,20,61,7341,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,3,,,3,,,,,,,,,,3,,,,,,,,,true
46,847,,,,,Churchill,Alaska-E,"United States",61.38,-141.75,5005,Stratovolcano,true,6,,,,,,,,,,,,,,,,,,,,,,true
48,930,,,,,Ceboruco,Mexico,Mexico,21.125,-104.508,2280,Stratovolcano,true,6,,,,,,,,,,,,,,,,,,,,,,true
62,1280,,,,,Quilotoa,Ecuador,Ecuador,-0.859,-78.904,3914,Caldera,true,6,,,,,,,,,1,,,,,,,,,,,,,true
69,1331,12,,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,2,,,1,,,,,,,,,,1,,,,,,,,,true
74,1375,,,,,"Chichon, El",Mexico,Mexico,17.36,-93.23,1150,"Tuff cone",true,5,M,,2,,,,,,,,,,2,,,,,,,,,true
78,1410,3,5,,,Nasudake,Honshu-Japan,Japan,37.125,139.963,1915,Stratovolcano,true,3,,180,3,,,,,,,,,180,3,,,,,,,,,true
80,1471,11,3,,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,5,P,,3,,,,,,,,,,3,,,,,,,,,true
82,1485,1,,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,2,,1,1,,,,,,,,,1,1,,,,,,,,,true
88,1540,,,2874,,Augustine,Alaska-SW,"United States",59.363,-153.435,1218,"Lava dome",true,4,,,,,,,,,,,,,,,,,,,,,,true
89,1550,11,,,,Dukono,Halmahera-Indonesia,Indonesia,1.699,127.878,1273,"Complex volcano",true,3,,,1,,,,,,,,,,1,,,,,,,,,true
90,1550,,,5863,,"Kie Besi",Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,true,3,,,,,,,,,1,,,,,,,,,,1,,,true
91,1564,12,31,,,Gamkonora,Halmahera-Indonesia,Indonesia,1.38,127.53,1635,Stratovolcano,true,3,,,1,,,,,,,,,,1,,,,,,,,,true
92,1565,8,,,9788,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,"Complex volcano",true,3,,,,,,,,,1,,,,,,,,,,1,,,true
93,1566,10,31,,,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,"Shield volcano",true,3,,,3,,,,,,,,,,3,,,,,,,,,true
95,1570,,,,,Mombacho,Nicaragua,Nicaragua,11.826,-85.968,1344,Stratovolcano,true,,A,400,3,,,,,,,,,400,3,,,,,,,,,true
96,1572,,,,,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,true,3,L,,,,,,,,2,,,,,,,,,,2,,,true
97,1576,,,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,true,3,,,1,,,,,,,,,,1,,,,,,,,,true
101,1581,12,26,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,true,4,,,,,,,,,1,,,,,,,,,,1,,,true
104,1590,1,15,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,true,3,I,,3,,,,,,,,,,3,,,,,,,,,true
106,1595,3,12,,,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279,Stratovolcano,true,4,M,636,3,,,,,,,,,636,3,,,,,,,,,true
107,1596,5,1,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,2,T,,3,,,,,,,,,,3,,,,,,,,,true
110,1598,5,13,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,2,T,800,3,,,,,,,,,800,3,,,,,,,,,true
113,1606,1,23,219,,Hachijojima,"Izu Is-Japan",Japan,33.137,139.766,854,Stratovolcano,true,2,,,,,,,,,,,,,,,,,,,,,,true
114,1608,7,18,222,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,true,3,,,,,,,,,1,,,,1,,,,,,1,,,true
117,1617,,,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,true,3,,,,,,,,,,,,,,,,,,,,,,true
125,1640,7,31,253,942,Hokkaido-Komagatake,Hokkaido-Japan,Japan,42.063,140.677,1131,Stratovolcano,true,5,W,,,,,,,,,,,700,3,,,,,,1,20,1,true
126,1640,,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,true,3,P,5000,4,,,,,,,,4,5000,4,,,,,,,,4,true
127,1646,7,19,5754,10519,"Kie Besi",Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,true,4,P,,3,,,,,,,,,,3,,,,,,,,,true
129,1659,9,30,,6879,"San Salvador","El Salvador","El Salvador",13.734,-89.294,1893,Stratovolcano,true,3,S,,,,,,,,,,,,,,,,,,,,,true
132,1660,10,27,,1017,"Guagua Pichincha",Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,true,4,P,,,,,,,,2,,,,,,,,,,2,,,true
135,1663,8,16,,,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,true,5,"T,P",5,1,,,,,,,,,5,1,,,,,,,,,true
136,1664,4,15,,,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,"Complex volcano",true,2,m,30,1,,,,,,,,,30,1,,,,,,,,,true
137,1664,,,293,,Io-Torishima,"Ryukyu Is",Japan,27.881,128.223,212,"Complex volcano",true,,A,,1,,,,,,,,,,1,,,,,,1,,1,true
143,1673,5,20,312,,Gamkonora,Halmahera-Indonesia,Indonesia,1.38,127.53,1635,Stratovolcano,true,5,W,,,,,,,,1,,1,,3,,,,,,1,,1,true
156,1698,,,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,true,3,M,,2,,,,,,,,,,2,,,,,,,,,true
159,1707,12,16,,1178,Fujisan,Honshu-Japan,Japan,35.361,138.728,3776,Stratovolcano,true,4,,,1,,,,,,1,75,1,,1,,,,,,1,75,1,true
160,1711,12,11,,,Awu,"Sangihe Is-Indonesia",Indonesia,3.689,125.447,1318,Stratovolcano,true,3,P,3000,4,,,,,,,,,3000,4,,,,,,,,,true
164,1716,9,24,387,1205,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,true,4,,,1,,,,,,,,,,1,,,,,,3,,3,true
166,1716,11,9,,,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,"Shield volcano",true,3,,1,1,,,31,1,,,,,1,1,,,31,1,,,,,true
167,1717,2,7,,,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,"Shield volcano",true,3,,1,1,,,30,1,,,,,1,1,,,30,1,,,,,true
169,1717,8,27,6032,10893,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,true,4,S,,,,,,,,1,,,,2,,,,,,3,3000,4,true
172,1721,6,22,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,1,T,15,1,,,,,,,,,15,1,,,,,,,,,true
181,1741,8,23,419,,Oshima-Oshima,Hokkaido-Japan,Japan,41.51,139.367,732,Stratovolcano,true,4,"W,S",,,,,,,,,,,2000,4,,,,,,3,871,3,true
182,1742,6,15,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,true,3,M,,3,,,,,,3,,,,3,,,,,,3,,,true
183,1742,12,9,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,true,3,M,,3,,,,,,3,,,,3,,,,,,3,,,true
184,1749,8,11,431,1304,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,true,3,,,1,,,,,,1,,,,1,,,,,,3,,3,true
186,1754,11,28,2853,1328,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,true,4,"W,T",,1,,,,,,4,,4,12,1,,,,,,4,,4,true
189,1760,,,,,"Kie Besi",Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,true,4,M,2000,4,,,,,,,,,2000,4,,,,,,,,,true
192,1766,7,20,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,3,m,49,1,,,,,,,,,49,1,,,,,,,,,true
193,1768,4,4,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,true,4,M,,3,,,,,,3,,,,3,,,,,,3,,,true
194,1770,,,500,9532,Dempo,Sumatra,Indonesia,-4.016,103.121,3142,Stratovolcano,true,,,,,,,,,,,,,,,,,,,,3,,3,true
195,1772,5,9,504,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,true,3,T,35,1,,,,,,,,,35,1,,,,,,,,,true
197,1773,2,2,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,true,2,I,,2,,,,,,,,,,2,,,,,,,,,true
198,1775,,,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,true,3,"P,I",1300,4,,,,,,,,,1300,4,,,,,,,,,true
199,1775,,,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,true,3,,,1,,,,,,,,,,1,,,,,,,,,true
202,1779,11,8,,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,4,"T,W,I",153,3,,,,,,,,,153,3,,,,,,,,,true
203,1780,2,9,,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,4,F,,3,,,,,,,,,,3,,,,,,,,,true
204,1780,7,27,,,Aogashima,"Izu Is-Japan",Japan,32.458,139.759,423,Stratovolcano,true,3,,7,1,,,,,,,,1,7,1,,,,,,,,1,true
205,1780,9,9,525,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,4,,,,,,,,,,,,,,,,,,,2,,,true
206,1780,10,31,528,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,,,,,,,,,,,,,,,,,,,,,,,true
207,1781,4,11,529,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,4,W,23,1,,,,,,,,,38,1,,,,,,1,,,true
208,1783,4,10,,,Aogashima,"Izu Is-Japan",Japan,32.458,139.759,423,Stratovolcano,true,3,T,7,1,,,,,,,61,2,7,1,,,,,,,61,2,true
209,1783,8,5,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,4,"F,P,I",1491,4,,,,,,,,,1491,4,,,,,,,,,true
213,1785,4,18,,,Aogashima,"Izu Is-Japan",Japan,32.458,139.759,423,Stratovolcano,true,3,,135,3,,,,,,,,,135,3,,,,,,,,,true
215,1789,,,,,Izu-Oshima,"Izu Is-Japan",Japan,34.724,139.394,746,Stratovolcano,true,2,T,,1,,,,,,,,,,1,,,,,,,,,true
217,1792,5,21,568,1515,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,"Complex volcano",true,2,"W,A",,1,,,,,,,,,15000,4,,,707,3,,4,6200,4,true
219,1797,,,577,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,2,"T,W",,,,,,,,,,,,,,,,,,,,,true
221,1800,10,30,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,2,,,1,,,,,,,,,,1,,,,,,,,,true
223,1800,,,,,"St. Helens",US-Washington,"United States",46.2,-122.18,2549,Stratovolcano,true,5,I,,3,,,,,,,,,,3,,,,,,,,,true
225,1801,8,14,,,Chokaisan,Honshu-Japan,Japan,39.099,140.049,2236,Stratovolcano,true,2,T,8,1,,,,,,,,,8,1,,,,,,,,,true
